이름,가격,면적 및 층수,센터명칭
지식산업센터,"2,000/130","109/52m², 1/5층",부천테크노파크
지식산업센터,"3,000/320","504/336m², 2/9층",부천테크노파크
지식산업센터,"9,500","37/18m², 11/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 3,000","74/37m², 13/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1억 1,000","37/18m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/75","62/55m², 6/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"4억 7,000","213/106m², 3/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"3,000/320","502/336m², 3/9층",부천테크노파크
지식산업센터,5억,"163/107m², 8/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"8,900","37/18m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/90","74/37m², 11/14층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/130","170/85m², B1/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"5억 3,000","208/104m², 4/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"3,000/320","413/336m², 2/9층",부천테크노파크
지식산업센터,"3,000/250","516/336m², B1/9층",부천테크노파크
지식산업센터,1억 100,"37/18m², 13/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"8,900","37/18m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"3,000/250","516/336m², B1/9층",부천테크노파크
지식산업센터,"2억 5,000","102/51m², 7/13층",신중동 더퍼스트 지식산업센터
지식산업센터,3억,"111/55m², 2/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2,000/200","268/177m², 1/9층",부천테크노파크
지식산업센터,"2억 5,000","102/51m², 7/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 4,000","74/37m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"4,500/420","672/449m², 15/15층",정보없음
지식산업센터,"3억 6,000","171/85m², 2/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2,000/130","109/52m², 1/5층",부천테크노파크
지식산업센터,30억,"1540/1029m², B1/10층",정보없음
지식산업센터,500/50,"34/18m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 7,000","74/37m², 11/14층",신중동 더퍼스트 지식산업센터
지식산업센터,"4,500/420","755/449m², 15/15층",정보없음
지식산업센터,"1,000/90","74/37m², 11/14층",신중동 더퍼스트 지식산업센터
지식산업센터,"1억 2,000","37/18m², 10/13층",신중동 더퍼스트 지식산업센터
지식산업센터,500/50,"37/18m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1억 1,000","37/18m², 11/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/90","74/37m², 11/14층",신중동 더퍼스트 지식산업센터
지식산업센터,500/50,"37/18m², 11/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 5,000","62/55m², 6/13층",신중동 더퍼스트 지식산업센터
지식산업센터,1억 500,"37/18m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/75","111/55m², 6/13층",신중동 더퍼스트 지식산업센터
지식산업센터,30억,"1542/1029m², B1/15층",정보없음
지식산업센터,"1억 2,000","37/18m², 11/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1억 2,000","37/18m², 10/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1억 2,000","37/18m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/70","111/55m², 8/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1억 1,000","37/18m², 12/13층",신중동 더퍼스트 지식산업센터
지식산업센터,500/40,"56/27m², 5/5층",부천테크노파크
지식산업센터,"3억 5,000","141/70m², 3/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 5,000","102/51m², 3/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 3,000","111/55m², 8/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 4,000","74/37m², 10/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 2,500","74/37m², 11/14층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/80","111/55m², 6/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 5,000","75/37m², 13/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"3,000/250","510/336m², B1/9층",부천테크노파크
지식산업센터,"1,000/75","29045/55m², 6/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"12억 6,000","672/449m², 15/15층",정보없음
지식산업센터,"2,000/180","214/107m², 8/13층",신중동 더퍼스트 지식산업센터
지식산업센터,3억,"112/55m², 2/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/90","74/37m², 11/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"2억 6,000","74/37m², 11/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"3억 9,000","172/85m², 7/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"1,000/70","102/51m², 3/13층",신중동 더퍼스트 지식산업센터
지식산업센터,"4,000/320","508/339m², 14/15층",정보없음
