이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,"1,500/150","215/134m², 15/15층",정보없음,215,134,15,15,월세,"1,500",150,
지식산업센터,"1,500/150","211/134m², 13/15층",정보없음,211,134,13,15,월세,"1,500",150,
지식산업센터,"1,000/140","220/116m², B3/27층",정보없음,220,116,B3,27,월세,"1,000",140,
지식산업센터,"2,000/170","261/165m², B1/15층",정보없음,261,165,B1,15,월세,"2,000",170,
지식산업센터,"3,000/150","200/113m², 1/8층",정보없음,200,113,1,8,월세,"3,000",150,
지식산업센터,"2,300/230","242/122m², 8/13층",정보없음,242,122,8,13,월세,"2,300",230,
지식산업센터,"1억 9,900","146/73m², B2/13층",정보없음,146,73,B2,13,매매,,,"1억 9,900"
지식산업센터,"1억 9,200","80/40m², 10/13층",정보없음,80,40,10,13,매매,,,"1억 9,200"
지식산업센터,"1,000/60","80/40m², 4/13층",정보없음,80,40,4,13,월세,"1,000",60,
지식산업센터,"1억 8,300","80/40m², 7/13층",정보없음,80,40,7,13,매매,,,"1억 8,300"
지식산업센터,"1,400/140","171/86m², 4/13층",정보없음,171,86,4,13,월세,"1,400",140,
지식산업센터,"3억 5,000","164/86m², 26/27층",정보없음,164,86,26,27,매매,,,"3억 5,000"
지식산업센터,"1억 8,300","80/40m², 7/14층",정보없음,80,40,7,14,매매,,,"1억 8,300"
지식산업센터,4억,"215/136m², 7/15층",정보없음,215,136,7,15,매매,,,4억
지식산업센터,"1,200/120","155/83m², 11/27층",정보없음,155,83,11,27,월세,"1,200",120,
지식산업센터,"1,600/160","164/82m², 9/13층",정보없음,164,82,9,13,월세,"1,600",160,
지식산업센터,"3억 4,000","164/86m², 16/27층",정보없음,164,86,16,27,매매,,,"3억 4,000"
지식산업센터,"1,600/160","225/118m², 4/27층",정보없음,225,118,4,27,월세,"1,600",160,
지식산업센터,"4억 6,000","221/116m², 2/27층",정보없음,221,116,2,27,매매,,,"4억 6,000"
지식산업센터,"9억 5,000","420/220m², 4/27층",정보없음,420,220,4,27,매매,,,"9억 5,000"
지식산업센터,"4억 7,000","225/118m², 4/27층",정보없음,225,118,4,27,매매,,,"4억 7,000"
지식산업센터,700/70,"82/41m², 5/13층",정보없음,82,41,5,13,월세,700,70,
지식산업센터,"2,300/230","220/122m², 8/13층",정보없음,220,122,8,13,월세,"2,300",230,
지식산업센터,600/60,"71/36m², 8/13층",정보없음,71,36,8,13,월세,600,60,
지식산업센터,"1,600/160","160/100m², 9/13층",정보없음,160,100,9,13,월세,"1,600",160,
지식산업센터,4억,"197/103m², 1/27층",정보없음,197,103,1,27,매매,,,4억
지식산업센터,"1,600/160","225/118m², 4/27층",정보없음,225,118,4,27,월세,"1,600",160,
지식산업센터,"1억 8,300","80/40m², 10/13층",정보없음,80,40,10,13,매매,,,"1억 8,300"
지식산업센터,"2,000/175","194/98m², 10/13층",정보없음,194,98,10,13,월세,"2,000",175,
지식산업센터,"1,500/150","224/115m², 5/27층",정보없음,224,115,5,27,월세,"1,500",150,
지식산업센터,"1,800/180","245/129m², 19/27층",정보없음,245,129,19,27,월세,"1,800",180,
지식산업센터,"1,600/160","225/118m², 4/27층",정보없음,225,118,4,27,월세,"1,600",160,
지식산업센터,"1,600/160","225/118m², 4/27층",정보없음,225,118,4,27,월세,"1,600",160,
지식산업센터,"2억 1,500","146/73m², B1/13층",정보없음,146,73,B1,13,매매,,,"2억 1,500"
지식산업센터,"2,300/230","80/80m², 8/13층",정보없음,80,80,8,13,월세,"2,300",230,
지식산업센터,"2,300/230","245/122m², 8/13층",정보없음,245,122,8,13,월세,"2,300",230,
지식산업센터,"4,500/450","492/277m², 8/13층",정보없음,492,277,8,13,월세,"4,500",450,
지식산업센터,"1,500/140","178/97m², 19/20층",정보없음,178,97,19,20,월세,"1,500",140,
지식산업센터,"3억 3,000","157/83m², 12/27층",정보없음,157,83,12,27,매매,,,"3억 3,000"
지식산업센터,"4억 1,000","196/103m², 1/27층",정보없음,196,103,1,27,매매,,,"4억 1,000"
지식산업센터,"1,600/160","145/73m², 10/13층",정보없음,145,73,10,13,월세,"1,600",160,
지식산업센터,"1,500/150","215/136m², 10/15층",정보없음,215,136,10,15,월세,"1,500",150,
지식산업센터,"1,500/150","146/73m², 10/13층",정보없음,146,73,10,13,월세,"1,500",150,
지식산업센터,"1,600/160","223/142m², 15/15층",정보없음,223,142,15,15,월세,"1,600",160,
지식산업센터,4억,"215/136m², 7/15층",정보없음,215,136,7,15,매매,,,4억
지식산업센터,500/40,"67/35m², B3/27층",정보없음,67,35,B3,27,월세,500,40,
지식산업센터,"8억 8,000","196/103m², 4/27층",정보없음,196,103,4,27,매매,,,"8억 8,000"
지식산업센터,"4억 6,000","221/116m², 4/27층",정보없음,221,116,4,27,매매,,,"4억 6,000"
지식산업센터,"5억 4,000","225/118m², 5/27층",정보없음,225,118,5,27,매매,,,"5억 4,000"
지식산업센터,"8억 8,000","417/219m², B3/27층",정보없음,417,219,B3,27,매매,,,"8억 8,000"
지식산업센터,"8억 8,000","197/103m², 4/27층",정보없음,197,103,4,27,매매,,,"8억 8,000"
지식산업센터,"2억 2,000","198/104m², B3/27층",정보없음,198,104,B3,27,매매,,,"2억 2,000"
지식산업센터,"5억 8,000","242/122m², 8/13층",정보없음,242,122,8,13,매매,,,"5억 8,000"
